PRCE_REG_YMD,PDLT_CODE,PDLT_NM,AMNT_RAIN,AVG_TEMP_C,total_SunL,Quantity,PDLT_PRCE,Category
2020-04-01,151,고구마,0,11.3,19.12,147648,3350,뿌리채소
2020-04-01,152,감자,0,11.3,19.12,358141,1275,뿌리채소
2020-04-01,211,배추,0,11.3,19.12,388962.3,800,채소
2020-04-01,214,상추,0,11.3,19.12,114428,2187.5,엽채류
2020-04-01,223,오이,0,11.3,19.12,436917,392.5,열매채소
2020-04-01,224,호박,0,11.3,19.12,250212,787.5,열매채소
2020-04-01,225,토마토,0,11.3,19.12,128383.7,3950,과일
2020-04-01,245,양파,0,11.3,19.12,815916,1150,뿌리채소
2020-04-01,232,당근,0,11.3,19.12,211140,2650,뿌리채소
2020-04-01,411,사과,0,11.3,19.12,148224,3300,과일
2020-04-02,223,오이,0,9.3,21.25,415570,377.5,열매채소
2020-04-02,214,상추,0,9.3,21.25,112144,2062.5,엽채류
2020-04-02,211,배추,0,9.3,21.25,367817.75,900,채소
2020-04-02,152,감자,0,9.3,21.25,293374,1175,뿌리채소
2020-04-02,151,고구마,0,9.3,21.25,114426,3350,뿌리채소
2020-04-02,225,토마토,0,9.3,21.25,110769.3,3750,과일
2020-04-02,245,양파,0,9.3,21.25,904270,1112.5,뿌리채소
2020-04-02,232,당근,0,9.3,21.25,181603,2583.333333,뿌리채소
2020-04-02,224,호박,0,9.3,21.25,272573,787.5,열매채소
2020-04-02,411,사과,0,9.3,21.25,130020,3500,과일
2020-04-03,223,오이,0,10,22.56,445168,402.5,열매채소
2020-04-03,214,상추,0,10,22.56,107012,2062.5,엽채류
2020-04-03,152,감자,0,10,22.56,392708,1175,뿌리채소
2020-04-03,151,고구마,0,10,22.56,150176,3350,뿌리채소
2020-04-03,211,배추,0,10,22.56,349383.25,800,채소
2020-04-03,224,호박,0,10,22.56,286644,762.5,열매채소
2020-04-03,245,양파,0,10,22.56,681290,1112.5,뿌리채소
2020-04-03,232,당근,0,10,22.56,188870,2483.333333,뿌리채소
2020-04-03,225,토마토,0,10,22.56,175185.1,4250,과일
2020-04-03,411,사과,0,10,22.56,211040,3100,과일
2020-04-06,223,오이,0,9.3,22.51,827346,347.5,열매채소
2020-04-06,214,상추,0,9.3,22.51,139014,2562.5,엽채류
2020-04-06,152,감자,0,9.3,22.51,394594,1175,뿌리채소
2020-04-06,211,배추,0,9.3,22.51,430088.1,800,채소
2020-04-06,151,고구마,0,9.3,22.51,185903.2,3350,뿌리채소
2020-04-06,225,토마토,0,9.3,22.51,201276.8,4550,과일
2020-04-06,245,양파,0,9.3,22.51,1048405,1125,뿌리채소
2020-04-06,232,당근,0,9.3,22.51,200270,2250,뿌리채소
2020-04-06,224,호박,0,9.3,22.51,397858,737.5,열매채소
2020-04-06,411,사과,0,9.3,22.51,229682,3500,과일
2020-04-07,214,상추,0,10.6,19.3,129880,2437.5,엽채류
2020-04-07,211,배추,0,10.6,19.3,405077,800,채소
2020-04-07,152,감자,0,10.6,19.3,356574,1075,뿌리채소
2020-04-07,151,고구마,0,10.6,19.3,162692,3350,뿌리채소
2020-04-07,223,오이,0,10.6,19.3,469948,347.5,열매채소
2020-04-07,224,호박,0,10.6,19.3,335192,737.5,열매채소
2020-04-07,245,양파,0,10.6,19.3,1003130,1250,뿌리채소
2020-04-07,232,당근,0,10.6,19.3,137510,2116.666667,뿌리채소
2020-04-07,225,토마토,0,10.6,19.3,144791.8,3750,과일
2020-04-07,411,사과,0,10.6,19.3,175861,3000,과일
2020-04-08,214,상추,0,9.4,24.86,126232,2187.5,엽채류
2020-04-08,211,배추,0,9.4,24.86,351189.15,800,채소
2020-04-08,152,감자,0,9.4,24.86,381780,1025,뿌리채소
2020-04-08,151,고구마,0,9.4,24.86,133496,3550,뿌리채소
2020-04-08,223,오이,0,9.4,24.86,554607,337.5,열매채소
2020-04-08,224,호박,0,9.4,24.86,331452,687.5,열매채소
2020-04-08,245,양파,0,9.4,24.86,1124338,1250,뿌리채소
2020-04-08,232,당근,0,9.4,24.86,235340,2283.333333,뿌리채소
2020-04-08,225,토마토,0,9.4,24.86,163671,3950,과일
2020-04-08,411,사과,0,9.4,24.86,198271,3000,과일
2020-04-09,214,상추,0,8.9,24.79,119398,2062.5,엽채류
2020-04-09,223,오이,0,8.9,24.79,518251.5,317.5,열매채소
2020-04-09,152,감자,0,8.9,24.79,366254,2625,뿌리채소
2020-04-09,151,고구마,0,8.9,24.79,128918,3550,뿌리채소
2020-04-09,211,배추,0,8.9,24.79,429003.5,800,채소
2020-04-09,224,호박,0,8.9,24.79,277582,662.5,열매채소
2020-04-09,245,양파,0,8.9,24.79,1040767,1200,뿌리채소
2020-04-09,232,당근,0,8.9,24.79,170479,2283.333333,뿌리채소
2020-04-09,225,토마토,0,8.9,24.79,115583,3250,과일
2020-04-09,411,사과,0,8.9,24.79,295612.5,3000,과일
2020-04-10,223,오이,0,10.7,21.07,568323,317.5,열매채소
2020-04-10,214,상추,0,10.7,21.07,121358,2062.5,엽채류
2020-04-10,211,배추,0,10.7,21.07,387575.25,800,채소
2020-04-10,152,감자,0,10.7,21.07,324670,2625,뿌리채소
2020-04-10,151,고구마,0,10.7,21.07,134106,3550,뿌리채소
2020-04-10,225,토마토,0,10.7,21.07,205721.4,4050,과일
2020-04-10,245,양파,0,10.7,21.07,917015,1175,뿌리채소
2020-04-10,232,당근,0,10.7,21.07,178120,2283.333333,뿌리채소
2020-04-10,224,호박,0,10.7,21.07,286296,662.5,열매채소
2020-04-10,411,사과,0,10.7,21.07,232354,3000,과일
2020-04-13,223,오이,0,12.4,26.02,1028680,302.5,열매채소
2020-04-13,214,상추,0,12.4,26.02,148804,2562.5,엽채류
2020-04-13,152,감자,0,12.4,26.02,492695,2575,뿌리채소
2020-04-13,151,고구마,0,12.4,26.02,177330.4,3750,뿌리채소
2020-04-13,211,배추,0,12.4,26.02,413311,800,채소
2020-04-13,224,호박,0,12.4,26.02,445172,662.5,열매채소
2020-04-13,245,양파,0,12.4,26.02,838242,1150,뿌리채소
2020-04-13,232,당근,0,12.4,26.02,212720,2216.666667,뿌리채소
2020-04-13,225,토마토,0,12.4,26.02,234548.5,3750,과일
2020-04-13,411,사과,0,12.4,26.02,237413,3000,과일
2020-04-14,214,상추,0,13,25.93,126606,2562.5,엽채류
2020-04-14,151,고구마,0,13,25.93,151134,3750,뿌리채소
2020-04-14,152,감자,0,13,25.93,365693,2525,뿌리채소
2020-04-14,223,오이,0,13,25.93,593354,307.5,열매채소
2020-04-14,211,배추,0,13,25.93,381581,900,채소
2020-04-14,224,호박,0,13,25.93,366278,662.5,열매채소
2020-04-14,245,양파,0,13,25.93,1000745,1100,뿌리채소
2020-04-14,232,당근,0,13,25.93,163740,2116.666667,뿌리채소
2020-04-14,225,토마토,0,13,25.93,141874.2,3750,과일
2020-04-14,411,사과,0,13,25.93,139260,2800,과일
2020-04-16,214,상추,0,16,22.96,118394,2312.5,엽채류
2020-04-16,152,감자,0,16,22.96,299410,2525,뿌리채소
2020-04-16,151,고구마,0,16,22.96,107658,4050,뿌리채소
2020-04-16,224,호박,0,16,22.96,266858,737.5,열매채소
2020-04-16,223,오이,0,16,22.96,554990.5,322.5,열매채소
2020-04-16,245,양파,0,16,22.96,1153236,1100,뿌리채소
2020-04-16,232,당근,0,16,22.96,146579,2183.333333,뿌리채소
2020-04-16,225,토마토,0,16,22.96,119082.3,3650,과일
2020-04-16,211,배추,0,16,22.96,300438.85,900,채소
2020-04-16,411,사과,0,16,22.96,152366,4300,과일
2020-04-17,214,상추,6.5,12.5,4.23,111764,2312.5,엽채류
2020-04-17,151,고구마,6.5,12.5,4.23,158850,4250,뿌리채소
2020-04-17,152,감자,6.5,12.5,4.23,308730,2475,뿌리채소
2020-04-17,211,배추,6.5,12.5,4.23,368797,900,채소
2020-04-17,223,오이,6.5,12.5,4.23,517007,312.5,열매채소
2020-04-17,245,양파,6.5,12.5,4.23,748492,1150,뿌리채소
2020-04-17,225,토마토,6.5,12.5,4.23,147683.5,3850,과일
2020-04-17,224,호박,6.5,12.5,4.23,230719,712.5,열매채소
2020-04-17,232,당근,6.5,12.5,4.23,143100,2183.333333,뿌리채소
2020-04-17,411,사과,6.5,12.5,4.23,114906,4400,과일
2020-04-20,214,상추,0.1,10,7.34,173213.5,2187.5,엽채류
