PRCE_REG_YMD,PDLT_CODE,PDLT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,PDLT_PRCE
20200401,151,고구마,1,kg,3350
20200401,152,감자,1,kg,1275
20200401,214,상추,1,kg,2187.5
20200401,223,오이,1,kg,392.5
20200401,224,호박,1,kg,787.5
20200401,225,토마토,1,kg,3950
20200401,245,양파,1,kg,1150
20200401,246,파,1,kg,1975
20200401,232,당근,1,kg,2650
20200401,411,사과,1,kg,3300
20200402,223,오이,1,kg,377.5
20200402,214,상추,1,kg,2062.5
20200402,152,감자,1,kg,1175
20200402,151,고구마,1,kg,3350
20200402,225,토마토,1,kg,3750
20200402,246,파,1,kg,1975
20200402,245,양파,1,kg,1112.5
20200402,232,당근,1,kg,2583.333333
20200402,224,호박,1,kg,787.5
20200402,411,사과,1,kg,3500
20200403,223,오이,1,kg,402.5
20200403,214,상추,1,kg,2062.5
20200403,152,감자,1,kg,1175
20200403,151,고구마,1,kg,3350
20200403,224,호박,1,kg,762.5
20200403,246,파,1,kg,1725
20200403,245,양파,1,kg,1112.5
20200403,232,당근,1,kg,2483.333333
20200403,225,토마토,1,kg,4250
20200403,411,사과,1,kg,3100
20200406,223,오이,1,kg,347.5
20200406,214,상추,1,kg,2562.5
20200406,152,감자,1,kg,1175
20200406,151,고구마,1,kg,3350
20200406,225,토마토,1,kg,4550
20200406,246,파,1,kg,1725
20200406,245,양파,1,kg,1125
20200406,232,당근,1,kg,2250
20200406,224,호박,1,kg,737.5
20200406,411,사과,1,kg,3500
20200407,214,상추,1,kg,2437.5
20200407,152,감자,1,kg,1075
20200407,151,고구마,1,kg,3350
20200407,223,오이,1,kg,347.5
20200407,246,파,1,kg,1925
20200407,224,호박,1,kg,737.5
20200407,245,양파,1,kg,1250
20200407,232,당근,1,kg,2116.666667
20200407,225,토마토,1,kg,3750
20200407,411,사과,1,kg,3000
20200408,214,상추,1,kg,2187.5
20200408,152,감자,1,kg,1025
20200408,151,고구마,1,kg,3550
20200408,223,오이,1,kg,337.5
20200408,224,호박,1,kg,687.5
20200408,246,파,1,kg,1925
20200408,245,양파,1,kg,1250
20200408,232,당근,1,kg,2283.333333
20200408,225,토마토,1,kg,3950
20200408,411,사과,1,kg,3000
20200409,214,상추,1,kg,2062.5
20200409,223,오이,1,kg,317.5
20200409,152,감자,1,kg,2625
20200409,151,고구마,1,kg,3550
20200409,224,호박,1,kg,662.5
20200409,246,파,1,kg,1875
20200409,245,양파,1,kg,1200
20200409,232,당근,1,kg,2283.333333
20200409,225,토마토,1,kg,3250
20200409,411,사과,1,kg,3000
20200410,223,오이,1,kg,317.5
20200410,214,상추,1,kg,2062.5
20200410,152,감자,1,kg,2625
20200410,151,고구마,1,kg,3550
20200410,225,토마토,1,kg,4050
20200410,246,파,1,kg,1975
20200410,245,양파,1,kg,1175
20200410,232,당근,1,kg,2283.333333
20200410,224,호박,1,kg,662.5
20200410,411,사과,1,kg,3000
20200413,223,오이,1,kg,302.5
20200413,214,상추,1,kg,2562.5
20200413,152,감자,1,kg,2575
20200413,151,고구마,1,kg,3750
20200413,224,호박,1,kg,662.5
20200413,246,파,1,kg,1975
20200413,245,양파,1,kg,1150
20200413,232,당근,1,kg,2216.666667
20200413,225,토마토,1,kg,3750
20200413,411,사과,1,kg,3000
20200414,214,상추,1,kg,2562.5
20200414,151,고구마,1,kg,3750
20200414,152,감자,1,kg,2525
20200414,223,오이,1,kg,307.5
20200414,246,파,1,kg,2425
20200414,224,호박,1,kg,662.5
20200414,245,양파,1,kg,1100
20200414,232,당근,1,kg,2116.666667
20200414,225,토마토,1,kg,3750
20200414,411,사과,1,kg,2800
20200416,214,상추,1,kg,2312.5
20200416,152,감자,1,kg,2525
20200416,151,고구마,1,kg,4050
20200416,224,호박,1,kg,737.5
20200416,223,오이,1,kg,322.5
20200416,246,파,1,kg,2475
20200416,245,양파,1,kg,1100
20200416,232,당근,1,kg,2183.333333
20200416,225,토마토,1,kg,3650
20200416,411,사과,1,kg,4300
20200417,214,상추,1,kg,2312.5
20200417,151,고구마,1,kg,4250
20200417,152,감자,1,kg,2475
20200417,223,오이,1,kg,312.5
20200417,246,파,1,kg,2475
20200417,245,양파,1,kg,1150
20200417,225,토마토,1,kg,3850
20200417,224,호박,1,kg,712.5
20200417,232,당근,1,kg,2183.333333
20200417,411,사과,1,kg,4400
20200420,214,상추,1,kg,2187.5
20200420,152,감자,1,kg,2475
20200420,151,고구마,1,kg,4350
20200420,223,오이,1,kg,262.5
20200420,224,호박,1,kg,662.5
20200420,246,파,1,kg,2475
20200420,245,양파,1,kg,1250
20200420,232,당근,1,kg,2183.333333
20200420,225,토마토,1,kg,3250
20200420,411,사과,1,kg,4050
20200421,214,상추,1,kg,2187.5
20200421,151,고구마,1,kg,4350
20200421,223,오이,1,kg,277.5
20200421,152,감자,1,kg,2525
20200421,224,호박,1,kg,612.5
20200421,246,파,1,kg,2525
20200421,245,양파,1,kg,1250
20200421,232,당근,1,kg,2150
20200421,225,토마토,1,kg,3250
20200421,411,사과,1,kg,4150
20200422,214,상추,1,kg,2062.5
20200422,151,고구마,1,kg,4350
20200422,246,파,1,kg,2775
20200422,245,양파,1,kg,1150
20200422,223,오이,1,kg,277.5
20200422,232,당근,1,kg,2150
20200422,225,토마토,1,kg,2950
20200422,224,호박,1,kg,662.5
20200422,152,감자,1,kg,2525
20200422,411,사과,1,kg,4150
20200423,214,상추,1,kg,1687.5
20200423,151,고구마,1,kg,4350
20200423,223,오이,1,kg,307.5
