Column1,PRCE_REG_YMD,PDLT_CODE,PDLT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,PDLT_PRCE
0,20200401,111,쌀,1,kg,2332.5
1,20200401,143,녹두,1,kg,9600.0
2,20200401,151,고구마,1,kg,3350.0
3,20200401,152,감자,1,kg,1275.0
4,20200401,211,배추,1,kg,800.0
5,20200401,212,양배추,1,kg,1687.5
6,20200401,213,시금치,1,kg,2125.0
7,20200401,214,상추,1,kg,2187.5
8,20200401,215,얼갈이배추,1,kg,1125.0
9,20200401,221,수박,1,kg,17000.0
10,20200401,222,참외,1,kg,7000.0
11,20200401,223,오이,1,kg,392.5
12,20200401,224,호박,1,kg,787.5
13,20200401,256,파프리카,1,kg,5500.0
14,20200401,226,딸기,1,kg,8000.0
15,20200401,225,토마토,1,kg,3950.0
16,20200401,253,깻잎,1,kg,7750.0
17,20200401,252,미나리,1,kg,3733.333333
18,20200401,247,생강,1,kg,7900.0
19,20200401,245,양파,1,kg,1150.0
20,20200401,244,피마늘,1,kg,3500.0
21,20200401,246,파,1,kg,1975.0
22,20200401,242,풋고추,1,kg,3908.333333
23,20200401,241,건고추,1,kg,15833.33333
24,20200401,233,열무,1,kg,1500.0
25,20200401,232,당근,1,kg,2650.0
26,20200401,231,무,1,kg,400.0
27,20200401,243,붉은고추,1,kg,9125.0
28,20200401,142,팥,1,kg,7266.666667
29,20200401,141,콩,1,kg,4728.571429
30,20200401,312,참깨,1,kg,10300.0
31,20200401,112,찹쌀,1,kg,2687.5
32,20200401,313,들깨,1,kg,7562.962963
33,20200401,315,느타리버섯,1,kg,4375.0
34,20200401,316,팽이버섯,1,kg,1400.0
35,20200401,317,새송이버섯,1,kg,3000.0
36,20200401,411,사과,1,kg,3300.0
37,20200401,412,배,1,kg,2833.333333
38,20200401,414,포도,1,kg,3750.0
39,20200401,418,바나나,1,kg,2192.307692
40,20200401,419,참다래,1,kg,3450.0
41,20200401,420,파인애플,1,kg,1916.666667
42,20200401,421,오렌지,1,kg,2916.666667
43,20200401,422,방울토마토,1,kg,5500.0
44,20200401,424,레몬,1,kg,2735.294118
45,20200401,428,망고,1,kg,7200.0
46,20200401,255,피망,1,kg,1750.0
47,20200401,613,갈치,1,kg,18000.0
48,20200401,611,고등어,1,kg,4133.333333
49,20200401,257,멜론,1,kg,3187.5
50,20200401,258,깐마늘(국산),1,kg,3375.0
51,20200401,654,새우,1,kg,12000.0
52,20200401,644,굴,1,kg,10000.0
53,20200401,642,건미역,1,kg,11000.0
54,20200401,653,전복,1,kg,32000.0
55,20200401,640,건오징어,1,kg,4000.0
56,20200401,639,북어,1,kg,4300.0
